movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,directors/1/peopleNm,companys/0/companyCd,companys/0/companyNm,directors/2/peopleNm,companys/1/companyCd,companys/1/companyNm,companys/2/companyCd,companys/2/companyNm,directors/3/peopleNm,companys/3/companyCd,companys/3/companyNm
20111409,제인 구달,Jane's Journey,2010,20141127,장편,개봉,독일,다큐멘터리,독일,다큐멘터리,로렌츠 크나우어,,,,,,,,,,,
20136558,미스터 컴퍼니,Anxiety,2013,20140227,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,민환기,,20143339,1014픽쳐스,,,,,,,,
20149511,분신사바 2,Bunshinsaba 2,2013,20140716,장편,개봉,"중국,한국","공포(호러),스릴러",중국,공포(호러),안병기,,,,,,,,,,,
20140459,킬 유어 달링,Kill Your Darlings,2013,20141016,장편,개봉,미국,"드라마,멜로/로맨스",미국,드라마,존 크로키다스,,,,,,,,,,,
20147527,그날 본 꽃의 이름을 우리는 아직 모른다,Anohana: The Flower We Saw That Day ,2013,20140220,장편,개봉,일본,"애니메이션,드라마,판타지,멜로/로맨스",일본,애니메이션,나가이 타츠유키,,,,,,,,,,,
20131462,해피엔딩 프로젝트,Still Mine,2012,20140220,장편,개봉,캐나다,드라마,캐나다,드라마,마이클 맥고완,,,,,,,,,,,
20141206,지미스 홀,Jimmy's Hall,2014,20141009,장편,개봉,"영국,아일랜드,프랑스",드라마,영국,드라마,켄 로치,,,,,,,,,,,
20143543,사랑에 대한 모든 것,The Theory of Everything,2014,20141210,장편,개봉,미국,멜로/로맨스,미국,멜로/로맨스,제임스 마쉬,,,,,,,,,,,
20149930,스텝 업: 올 인,Step Up: All In,2014,20140903,장편,개봉,미국,"드라마,멜로/로맨스",미국,드라마,트리시 시에,,,,,,,,,,,
20147255,베르테르,WERTHER,2014,20140712,장편,개봉,미국,공연,미국,공연,리처드 이어,,,,,,,,,,,
20136803,겨울왕국,Frozen,2013,20140116,장편,개봉,미국,"애니메이션,어드벤처,가족,코미디,뮤지컬,판타지",미국,애니메이션,크리스 벅,제니퍼 리,,,,,,,,,,
20138607,나의 라임 오렌지 나무,My Sweet Orange Tree,2012,20140529,장편,개봉,브라질,드라마,브라질,드라마,마르코스 번스테인,,,,,,,,,,,
20148602,이브 생 로랑,Yves Saint Laurent,2013,20140626,장편,개봉,프랑스,드라마,프랑스,드라마,자릴 레스페르,,,,,,,,,,,
20148829,가구야공주 이야기,The Tale of Princess Kaguya,2013,20140604,장편,개봉,일본,"애니메이션,드라마,판타지",일본,애니메이션,다카하타 이사오,,,,,,,,,,,
20134588,덕수리 5형제,A Dynamite Family,2014,20141204,장편,개봉,한국,"코미디,스릴러",한국,코미디,전형준,,20100178,㈜기억속의매미,,,,,,,,
20144532,스피릿 오브 베토벤,SPIRIT OF BEETHOVEN,2014,20141210,장편,개봉,한국,공연,한국,공연,남평희,,20153488,(주)아르떼,,,,,,,,
20110315,청아,A Fresh Girl,2009,20140925,장편,개봉,한국,드라마,한국,드라마,김정호,,20122675,대흥엔터테인먼트,,20125176,주니파워픽처스(주),,,,,
20149984,컬러풀 웨딩즈,Serial Bad Weddings,2014,20141016,장편,개봉,프랑스,코미디,프랑스,코미디,필립 드 쇼브홍,,,,,,,,,,,
20133955,우리가족,Our Family,2013,20140724,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,김도현,,,,,,,,,,,
20122124,아버지의 이메일,My Father’s E-mails,2012,20140424,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,홍재희,,20143331,이야기 보따리 영화제작소,,,,,,,,
20148627,누구에게나 찬란한,Glory For Everyone ,2014,20141106,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,임유철,,20143328,게릴라캠,,,,,,,,
20136312,아빠를 빌려드립니다,Dad for Rent,2013,20141120,장편,개봉,한국,"코미디,가족,드라마",한국,코미디,김덕수,,20111336,(주)이스트스카이필름,,2013187,(주)어뮤즈엔터테인먼트,,,,,
20148860,원나잇 온리,One Night Only,2014,20140703,옴니버스,개봉,한국,기타,한국,기타,김조광수,,20123255,(주)레인보우팩토리,,,,,,,,
20148424,액트 오브 킬링,The Act of Killing,2013,20141120,장편,개봉,"덴마크,노르웨이,영국",다큐멘터리,덴마크,다큐멘터리,조슈아 오펜하이머,,,,,,,,,,,
20149357,호두까기 인형,Nutcracker,2013,20141207,장편,개봉,한국,공연,한국,공연,정성복,,20063278,(주)패뷸러스,,,,,,,,
20148830,마담 프루스트의 비밀정원,Attila Marcel,2013,20140724,장편,개봉,프랑스,드라마,프랑스,드라마,실뱅 쇼메,,,,,,,,,,,
20136853,올드보이,Oldboy,2013,20140116,장편,개봉,미국,"액션,스릴러",미국,액션,스파이크 리,,,,,,,,,,,
20136062,하이힐,Man on High Heels,2013,20140603,장편,개봉,한국,"범죄,액션",한국,범죄,장진,,20137755,장차앤코,,,,,,,,
20132621,이것이 우리의 끝이다,Futureless Things ,2013,20140626,장편,개봉,한국,드라마,한국,드라마,김경묵,,,,,,,,,,,
20149343,님포매니악 볼륨2,Nymphomaniac vol.2,2013,20140703,장편,개봉,"덴마크,벨기에,프랑스,독일,영국","드라마,미스터리",덴마크,드라마,라스 폰 트리에,,,,,,,,,,,
20147928,터널 3D,Tunnel 3D,2014,20140820,장편,개봉,한국,"공포(호러),스릴러",한국,공포(호러),박규택,,20100310,(주)필마픽쳐스 ,,20130368,(주)씨제이에스지 마당엔터테인먼트,,,,,
20130483,보호자,Guardian,2013,20140410,장편,개봉,한국,"범죄,드라마",한국,범죄,유원상,,20100572,한국영화아카데미,,,,,,,,
20130929,스톤,The Stone,2012,20140612,장편,개봉,한국,"액션,드라마",한국,액션,조세래,,20141488,(주)샤인픽쳐스,,,,,,,,
