movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,companys/0/companyCd,companys/0/companyNm,companys/1/companyCd,companys/1/companyNm,directors/1/peopleNm,companys/2/companyCd,companys/2/companyNm,companys/3/companyCd,companys/3/companyNm,directors/2/peopleNm,directors/3/peopleNm
20176625,인피니티 포스 스페셜 에디션 1,Infini-T Force : Special Edition 1,2017,20171207,장편,개봉,일본,애니메이션,일본,애니메이션,스즈키 키요타카,,,,,,,,,,,
20173522,소림사 2017: 7인의 고수,Mysterious Rouge,2017,20171207,장편,개봉,중국,"액션,드라마",중국,액션,도효,,,,,,,,,,,
20176888,인디펜던츠 데이: 외계의 대침공,Indepents Day,2016,20171206,장편,개봉,미국,"액션,SF",미국,액션,,,,,,,,,,,,
20177472,바이킹: 라스트 윗치 워,Viking: The Berserkers,2014,20171206,장편,개봉,영국,액션,영국,액션,,,,,,,,,,,,
20177055,유부녀 야썰,,2017,20171205,장편,개봉,한국,,한국,,최석원,20100142,(주)씨맥스커뮤니케이션즈,,,,,,,,,
20177743,50대 장모님의 불타는 사위사랑,,2017,20171204,장편,개봉,한국,기타,한국,기타,김두민,19990110,두리컴,,,,,,,,,
20177582,내 친구의 엄마 2: 그녀가 여자로 보일 때 (무삭제),,2017,20171204,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,이진,20112175,(주)소나무픽쳐스,,,,,,,,,
20179462,위대한 쇼맨,The Greatest Showman,2017,20171220,장편,개봉,미국,"드라마,뮤지컬",미국,드라마,마이클 그레이시,,,,,,,,,,,
20160881,문영,Moon young,2015,20170112,장편,개봉,한국,드라마,한국,드라마,김소연,,,,,,,,,,,
20177928,바이스: 범죄도시,Vice,2015,20171228,장편,개봉,미국,"액션,어드벤처,SF",미국,액션,브라이언 A 밀러,,,,,,,,,,,
20162343,악녀,The Villainess,2017,20170608,장편,개봉,한국,액션,한국,액션,정병길,20174223,(주)앞에있다,,,,,,,,,
20171962,킬러의 보디가드,The Hitman's Bodyguard,2017,20170830,장편,개봉,미국,"액션,코미디",미국,액션,패트릭 휴즈,,,,,,,,,,,
