movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,companys/0/companyCd,companys/0/companyNm,directors/1/peopleNm,directors/2/peopleNm,directors/3/peopleNm,companys/1/companyCd,companys/1/companyNm,companys/2/companyCd,companys/2/companyNm,companys/3/companyCd,companys/3/companyNm
20154687,마지막 한번만 더 - 육감적 정사,Last Love/Lover,2014,20150909,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,이시카와 히토시,,,,,,,,,,,
20154682,아내의 생생한 불륜남,Lover of the wife,2013,20150902,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,코다마 요시히사,,,,,,,,,,,
20153384,그녀가 그녀를 사랑할 때,When she love her,2015,20150826,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,마츠모토 유사쿠,,,,,,,,,,,
20153382,몸의 반응 -노예,Sex slave's mail,2010,20150819,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,이시카와 히토시,,,,,,,,,,,
20153381,불륜의 오피스걸-유이,Authentic account-woman's crime 2,2014,20150812,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,카이바라 크리스,,,,,,,,,,,
20153105,불륜여행 - 몸을 포개며,Affair's Trip,2015,20150805,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,우메하라 노리카츠,,,,,,,,,,,
20152965,속옷을 찢고-미망인 정사,Widow wetting the mourning,2013,20150729,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,야마우치 다이스케,,,,,,,,,,,
20152864,여의사의 유출본 - 얼굴,Nasty famale doctor,2010,20150729,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,한 헤이타로,,,,,,,,,,,
20152863,화려한 사쿠라 - 육체,Love of the GOKUTUMA,2013,20150722,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,이시카와 히토시,,,,,,,,,,,
20152861,야한 동거 체험 - 키스 5초 전,Slightly naughty life experience,2012,20150722,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,타지리 유지,,,,,,,,,,,
20141613,살인재능,Gifted,2015,20150730,장편,개봉,한국,"스릴러,드라마",한국,스릴러,전재홍,20062161,전재홍 필름,,,,20130368,(주)씨제이에스지 마당엔터테인먼트,,,,
20144721,따라지 : 비열한 거리,The Outsider: Mean Streets,2014,20150608,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,신동엽,20156148,디에스미디어,,,,20122959,(주)영화사골든오션,,,,
20152209,퀴어영화 나비 : 어른들의 일,,2015,20150718,장편,개봉,한국,"드라마,멜로/로맨스",한국,드라마,백인규,20140513,99film,,,,,,,,,
20154708,낮에는 숙녀 밤에는 요부,Boobs House Keeper,2009,20150830,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,이시카와 히토시,,,,,,,,,,,
20141598,타이밍,Timing,2015,20151210,장편,개봉,한국,애니메이션,한국,애니메이션,민경조,20141614,(주)효인엔터테인먼트,박대열,,,20040183,베데코리아 ,,,,
20158951,순교,The Martyrdom,2015,20150813,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,김상철,20063240,파이오니아21,,,,,,,,,
